recid,ite,ite_reweighed
305649,-0.0324891092048355,-0.0287259159796081
305651,-0.0381810548244817,-0.0364331346185286
305655,0.040537799907715,0.0369109231264985
305656,0.249509158630717,0.220608668639704
305657,-0.175239662202656,-0.154941761591272
305661,0.099092748985437,0.0876148977676619
305662,-0.117572914639324,-0.107518385428375
305663,-0.0702560829760233,-0.0639703408621188
305664,0.172862085787506,0.158079370768933
305665,-0.203221094473699,-0.181601859803964
305666,0.136014560528583,0.235686816837728
305667,-0.175949810427413,-0.155569653790742
305669,-0.0130676312398799,-0.011950121476493
305670,0.23246560123654,0.20390428449905
305673,0.00300754221144623,0.00286985759728851
305676,0.33524341703779,0.3198960478976
305677,-0.411940113622845,-0.353123100009598
305679,-0.0817260527880137,-0.0730318041991505
305681,-0.14454189121428,-0.12678310576453
305684,-0.0412368441552559,-0.0364604062548989
305686,0.329476152667033,0.282433384274733
305687,0.093551440868012,0.0820574722134364
305688,-0.174206719330281,-0.158620616805989
305689,0.329239436592114,0.29978271050547
305692,-0.122828571251244,-0.107737539678144
305693,-0.0943042842234891,-0.0862396276369657
305694,0.124421369001783,0.10913464223417
305695,-0.175949810427413,-0.160903041245663
305696,0.33524341703779,0.296412381448457
305697,0.190314516401998,0.16314131541516
305701,0.12327006809195,0.108991773104167
305703,0.285183863336632,0.259668745726206
305704,0.21986098648054,0.188469125850315
305709,0.145284663059428,0.12845643128774
305711,-0.172786422880767,-0.152772679447648
305714,0.274800635504952,0.242970649545642
305715,-0.0676306865087385,-0.117190844582004
305716,-0.175949810427413,-0.160207755270217
305718,-0.0668990186408066,-0.115923006270392
305719,-0.668066906685339,-0.590685134184705
305723,0.0790149219036602,0.0719455351516802
305724,-0.175949810427413,-0.304886848743844
305725,-0.121644990876648,-0.111242228319583
305729,-0.0435668617623357,-0.0396689778190531
305733,0.321470845406131,0.284235078186007
305735,0.302253804051333,0.523747139108556
305736,0.0560749822796794,0.0495798521088521
305737,0.311211871756149,0.28459784364461
305738,0.0806826942496813,0.0720994410923864
305739,-0.0830495108432434,-0.0711916605191238
305741,-0.37365666841547,-0.320305784085243
305745,0.0251189755732101,0.0228716057237901
305747,-0.148512265379969,-0.132713110647048
305748,0.33524341703779,0.296412381448457
305749,-0.146381820705697,-0.129426505849168
305750,-0.529222168923685,-0.504994495624651
305751,0.157529340025699,0.272967751135753
305753,-0.141066468841604,-0.124726827871317
305754,0.0662860529659635,0.0586081808557782
305755,0.227565018736999,0.195073172562467
305757,-0.579664212524633,-0.512522068868852
305758,-0.0146493250132031,-0.013090888395027
305760,-0.151643373461854,-0.129991657432493
305761,0.0736075953226318,0.127547666729585
305763,0.327302668706412,0.289391405036201
305765,-0.0792894694319492,-0.0701054197149514
305766,-0.0886984171765407,-0.0778007033917151
305770,0.109863330394257,0.0941769896235893
305771,0.139130045111531,0.122036172878416
305772,0.086132027650171,0.0738340540484186
305773,-0.126196395408048,-0.11157914575514
305774,0.221227483822119,0.202308686026062
305775,-0.0878112481290378,-0.0776401261085926
305778,-0.163231701311304,-0.144324675309323
305779,0.0546869652949264,0.047967985244148
305780,-0.175949810427413,-0.167894867202469
305783,-0.694923421367073,-0.609543357218273
305784,-0.104278638834854,-0.0893896830932536
305787,0.108270876799347,0.0928119073423064
305788,0.276188652489705,0.242255410147185
305789,-0.151740211856139,-0.22477088832431
305790,-0.00233522544005878,-0.00206473773600995
305791,-0.239288016434104,-0.213831880621324
305793,-0.0434592635464633,-0.0390546411645118
305797,-0.0188407917548742,-0.0169312662294708
305800,0.1847135130324,0.158340026082974
305801,-0.15068574934059,-0.133231913118684
305802,0.104752415140322,0.095380320376578
305804,0.33524341703779,0.296412381448457
305807,0.209869975903351,0.185560867687464
305808,-0.128983189199141,-0.114043146962151
305809,-0.0589690301310159,-0.0521386842053037
