,Unnamed: 0,recid,late_Xfit,pred_takeup_prob,education,age,prev_earnings,allocated_trmt,earnings,pred_earnings,counterfac_pred_earnings,pred_pred_itt,pred_actual_itt,doubly_robust_lasso,Rlr1,doubly_robust_ols,Rlr1poly,doubly_robust_polyols,clstrs9,d_rob_ols_Xfit
4234,4210,309495,-8716.0,0.6617578569952209,12,32,9000,0,26078,24269.79019063458,25011.4224586048,741.6322679702208,-1066.5775413951997,741.6322679702208,1529.5584941486884,1529.5584941486884,-1340.5863908180472,-1340.5863908180472,1,-7715
4235,4211,309496,32300.0,0.6762764355253397,14,25,10875,1,53826,29273.23246576445,30929.223485280567,-1655.991019516121,22896.776514719433,35173.160281837205,1334.624188858641,37529.24280777303,-8452.96420538568,54093.473622922735,1,36828
4236,4212,309497,-8279.0,0.6791378113498227,12,22,3000,1,10231,17195.211103612775,16221.849473164491,973.361630448284,-5990.84947316449,-9472.955024970881,1419.8123677091935,-9668.489682462347,918.9859006386968,15036.300414617475,4,-9753
4237,4213,309498,-19979.0,0.6673574169115674,12,28,3200,1,1011,17261.160439034018,16235.477629356708,1025.6828096773115,-15224.477629356708,-23349.557848873726,1267.756816586023,-23151.2437532312,1484.4877528667716,999.3525448626401,4,-23268
4238,4214,309499,709.0,0.6892257842619826,13,23,4800,1,20385,20375.15416082515,20858.076385823144,-482.9222249979938,-473.076385823144,-468.15346623571884,1253.967095612421,672.2747083776703,-316.8278492023346,22613.71557258481,4,405
4239,4215,309500,-12292.0,0.6468098252725692,10,23,2000,1,3810,14331.124538429485,11673.37290522959,2657.751633199896,-7863.372905229588,-13123.935174444328,1835.698097360909,-14339.316293033591,1759.0834772157432,12795.853994541587,3,-14364
4240,4216,309501,-2442.0,0.6388094663757429,10,27,2000,1,11097,14190.683216787002,11830.032269853926,2360.650946933076,-733.0322698539258,-2279.8738782474265,1725.7825053577415,-2911.0032312257954,1558.2941605262167,22889.056898274805,3,-3051
4241,4217,309502,-27833.0,0.6377734639279616,10,37,4900,1,21767,17632.690494836876,16533.1720003271,1099.5184945097753,5233.8279996729,7300.982752254462,1636.852160132732,8546.161302825823,26.43558719665361,31181.378758845323,3,8544
4242,4218,309503,2065.0,0.6002603085306222,9,35,0,1,10185,10241.948558758631,7935.071073417763,2306.877485340869,2249.9289265822367,2221.454647202921,1631.4998585657975,2130.7854304822704,-1321.3520906184006,23608.063879155077,3,2078
4243,4219,309506,-34379.0,0.6647283971931622,14,34,9600,1,0,27120.00346859105,26641.878100550708,478.1253680403461,-26641.878100550708,-40201.87983484624,1005.6003967314357,-39543.03319847096,-4592.426782829942,-20758.788297618798,1,-40141
