,recid,education,age,prev_earnings,allocated_trmt,earnings,clstrs9,Rlr1,d_rob_ols_Xfit
5619,312626,12,44,0,1,600,2,623.0090584680529,-15383
5620,312627,10,29,0,1,36376,3,1542.6463405403501,38921
5621,312628,8,26,0,1,405,3,2132.536846603133,-12697
5622,312629,12,38,960,1,789,2,849.4080635043956,-17751
5623,312630,12,29,6900,0,1289,1,1477.4079008944682,59231
5624,312632,14,51,2500,1,3942,2,83.42592142185458,-17485
5625,312635,16,67,0,0,0,2,-1023.9132196709961,37910
5626,312638,11,26,0,1,3577,4,1371.3561285125215,-11507
5627,312645,14,24,2000,1,12057,4,793.3115752392987,-7687
5628,312646,10,27,1200,1,54093,3,1674.511157831419,63112
5629,312648,12,22,759,0,28140,4,1276.1885054510858,-43400
5630,312657,12,43,2179,1,0,2,790.1382892936654,-20981
5631,312658,10,32,100,1,22449,3,1466.6185649787622,18161
5632,312661,14,31,2000,1,49022,4,600.9592892337514,48588
5633,312662,9,47,1500,1,21153,2,1397.886859168142,17642
5634,312663,12,26,2880,1,5232,4,1302.2060735770792,-16391
5635,312668,14,25,0,1,59188,4,637.6543084227014,67167
5636,312669,7,52,0,1,0,3,1671.812404612734,-8122
5637,312671,14,25,328,0,825,4,658.6755609084939,41562
5638,312674,9,37,0,0,39171,3,1576.5420625642137,-92783
5639,312675,12,35,0,1,9249,2,870.3191404751851,-3783
5640,312676,11,24,7600,1,15991,1,1913.391726014168,-8113
5641,312678,14,40,21000,0,25039,1,1571.3437109767765,50303
5642,312682,11,42,0,1,1722,2,931.693760499842,-12104
5643,312683,10,29,136,1,1335,3,1551.3624696198258,-13667
5644,312688,12,29,138,1,4346,4,1044.036835928233,-11997
5645,312689,12,27,0,1,5002,4,1090.1503244815267,-11007
5646,312691,16,23,3000,0,48099,4,377.42584558758244,-84252
5647,312692,14,33,0,0,33214,4,417.8231244163617,-58792
5648,312694,9,40,0,1,1671,3,1494.1053685618353,-10044
5649,312695,11,27,0,0,21486,4,1343.8772305117309,-30947
5650,312697,12,48,8000,1,73052,1,1025.806941728104,77227
5651,312698,10,25,2441,1,654,3,1809.0036316832084,-19737
5652,312702,13,26,0,0,1014,4,863.9023164521113,36237
5653,312707,12,37,4000,1,12175,2,1071.7180821052098,-6846
5654,312710,12,36,5200,1,44637,1,1176.1040013954844,39421
5655,312713,12,47,15000,0,6447,1,1501.910130584216,70753
5656,312715,12,43,9000,0,36942,1,1227.2906161399733,-41655
5657,312718,12,44,8000,1,10854,1,1135.7225337312739,-15552
5658,312719,12,22,17200,1,49397,1,2329.878786301415,19756
5659,312720,13,28,1400,1,4383,4,898.669378621591,-15947
5660,312721,11,25,50,1,1368,4,1402.0394857337087,-15047
5661,312722,12,25,13200,1,54703,1,1991.0853546674261,37979
5662,312725,11,28,2000,1,4401,4,1444.576701326745,-14216
5663,312727,12,31,1562,1,651,4,1080.3420385235004,-19932
5664,312731,14,30,2700,1,30099,4,673.3006163200771,18689
5665,312739,12,24,3800,1,12690,4,1416.1259192339348,-7438
5666,312741,12,26,0,0,15305,4,1117.6292224823173,-9399
5667,312743,13,31,7756,0,38037,1,1223.5835407158447,-44308
5668,312744,11,69,0,0,3601,2,189.76351447844445,12626
5669,312747,10,41,0,1,738,2,1212.8995645308387,-13247
5670,312748,12,52,9000,1,8127,1,979.9805341328392,-21073
5671,312750,8,64,0,0,129,2,1088.3387225730175,15751
5672,312752,10,37,4000,1,25890,3,1579.17189416562,16371
5673,312754,16,23,4500,1,45975,4,473.55962219943467,35402
5674,312756,12,22,7000,1,28062,1,1676.1691053408067,9015
5675,312758,16,25,4910,1,29569,1,444.87839180509036,10878
5676,312759,12,35,0,1,6783,2,870.3191404751851,-7482
5677,312761,12,23,0,1,7280,4,1200.0659164846948,-7697
5678,312763,12,24,1877,1,864,4,1292.8824176175349,-21369
5679,312769,16,50,18000,1,31488,1,596.8333656847317,-8938
5680,312772,12,59,4800,1,10122,2,518.4536736140981,-8869
5681,312774,8,39,14450,1,10740,1,2701.399887287025,-23765
5682,312775,11,33,2500,1,16713,4,1339.2268035267316,3761
5683,312777,12,32,15000,0,35458,1,1914.0936005961048,-9487
5684,312780,8,31,0,1,11507,3,1995.14235659917,4959
5685,312782,10,51,0,1,32767,2,938.110584522914,36657
5686,312785,12,24,2900,1,15297,4,1358.445653266821,-1617
5687,312789,12,36,0,1,17876,2,842.8402424743927,9756
5688,312793,12,28,0,0,14748,4,1062.6714264807342,-7366
5689,312794,16,48,0,0,14267,2,-501.8141576559392,-40
5690,312795,11,27,18000,1,56067,1,2497.4825498539794,29696
5691,312796,12,22,0,0,20007,4,1227.5448144854872,-21690
5692,312797,14,30,2700,1,19291,4,673.3006163200771,2746
5693,312798,14,24,5400,1,23684,1,1011.2148022261681,2956
5694,312799,12,35,0,0,0,2,870.3191404751851,34292
5695,312802,9,28,2800,0,2752,3,2003.301860913476,30860
5696,312803,10,38,8500,0,1190,1,1840.0943260003914,58897
5697,312806,16,53,778,1,27273,2,-589.3472621905512,18610
5698,312809,10,38,11340,1,14349,1,2022.1076097188343,-14925
5699,312810,13,27,6513,1,29907,1,1253.836276499991,12510
5700,312811,10,28,0,1,0,3,1570.1252385411426,-15521
5701,312812,13,25,5070,1,28229,1,1216.31337940097,12294
5702,312813,9,32,1100,0,11885,3,1784.4346554168696,-5028
5703,312814,12,28,4500,1,31460,1,1351.0727563162982,19821
5704,312816,12,28,10000,0,27626,1,1703.56327055976,-7661
5705,312817,11,24,315,0,8688,4,1446.5020176025955,10153
5706,312820,10,26,4710,1,23396,3,1926.9430931039478,10086
5707,312822,11,40,665,1,14790,2,1029.2708641326826,5506
5708,312823,12,32,1260,0,51631,4,1033.5082068315205,-114592
5709,312824,13,22,0,1,2745,4,973.8179084552812,-16002
5710,312825,11,26,0,1,0,4,1371.3561285125215,-16873
5711,312826,10,27,938,1,6988,3,1657.719791516547,-6683
5712,312828,12,30,451,1,12689,4,1036.6178526471122,-26
5713,312831,12,24,0,1,0,4,1172.5870184839023,-18942
5714,312835,12,32,0,0,984,4,952.7558344775625,32917
5715,312836,13,29,17000,0,9896,1,1870.9817573840846,75740
5716,312838,9,30,0,1,325,3,1768.89434856976,-13142
5717,312839,12,26,0,1,2584,4,1117.6292224823173,-14499
5718,312842,12,32,12,1,71715,4,953.5249046904573,89570
